escenario,objetivo,modelo,R2,RMSE,MAE
pH (solo RFE),DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l),MLPRegressor,0.8313592042172646,4.346436893333735,2.0930420143409156
pH (solo RFE),DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l),SVR (RBF),0.03392816495494122,10.402956138150323,2.3006889617075106
pH (solo RFE),DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l),LinearRegression,0.026985937730577114,10.440267238354652,4.706593849576649
pH (solo RFE),DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l),DecisionTree (CART),-2.0522725383480216,18.491141059313627,3.348795932620165
pH (solo RFE),pH,RandomForest,0.2525937493157755,0.33450182014664676,0.2491260917569955
pH (solo RFE),pH,SVR (RBF),0.1990510062999964,0.3462761278686495,0.26176497776072044
pH (solo RFE),pH,XGBoost,0.16370034628484043,0.35383523749461626,0.27057494500953927
pH (solo RFE),pH,LinearRegression,0.1333292004596961,0.36020289965574653,0.2735770670675966
pH (solo RFE),pH,MLPRegressor,-0.06373640153019533,0.39905902128244564,0.2845250623300853
pH (solo RFE),pH,DecisionTree (CART),-0.6354983991252137,0.494817651996795,0.3503502118860639
